Book	Chapter	Verse	Ivatan	Yami
1 Corinthians	1	3	Bendisionan kamo pa no Dios Ama as kano Apo taya a si Jesu Cristo as kapakarawat nio pa so grasia kano kaydamnayan no aktokto.	Inaoy no si itoro na ni Ama ta do to a kani Yeso Kizisto a Panirsirngen ta o pangangarilawan na kano ikapiya no onowned nyo.
1 Corinthians	1	4	Fermi ako a mamahemahes do Dios do tayto na a pinarawat dinio a makayamot do grasia na do nakasaray nio ni Jesu Cristo,	Ko masangib inyo a isaray ji Ama ta do to, ta na nitoro jinyo o pangangarilawan na, ta yakamo macikaop rana ji Yeso Kizisto.
1 Corinthians	1	5	as katayto na pa tomnoroh dinio so matatarek a kasolivan a akma so kapia nio a mangononong as kano karakoh no kapakaintindian nio,	Kanyo tey meynakem rana a macikaop ji Yeso Kizisto a tao. Ori o nyo kateteneng a meylimwang no ciriciring na ni Kizisto, do nyo kapakateneng do manoyong a nanao na.
1 Corinthians	1	6	as kayan pa no kavoyan so katayto nio na a manganohed do kakawyoran aya a pinawnonong namen a komapet di Cristo.	O ciring na rana ni Kizisto a nipeylimwang ko jinyo am yamanoyong a yana amyan do onowned nyo.
1 Corinthians	1	7	Dawa ara pava o di na tinoroh dinio no Dios do komwan do saray nioaya do katayto nio a ompanapanaya so kapayvidi no Apo taya a si Jesu Cristo,	So yana ikabo no yana jya nitoro jinyo no Seyzi a oyowyat a kano teneteneng nyo, do nyo kapanala si Yeso Kizisto a Panirsirngen ta a mai.
1 Corinthians	1	8	a iya so tayto a somidong dinio a manda do kavosan na tapian abo o kaparoan nio kano pinaykolangan nio anti an somalap ta do Apo taya a si Jesu Cristo.	Jyabo kaji na ngoyatan jinyo ni Yeso a. So ikanoyong nyo na abo rana so karatan do tangain na, no si mai si Yeso Kizisto a Panirsirngen ta.
1 Corinthians	1	9	As ari nio mapanmo ta maynyoha ava o Dios aya a tomnawag dinio a machasa do Manganak naya a si Jesu Cristo a Apohen ta.	Abo kalalasan na ni Ama ta do to a nimamnek jinyo a meyhanhan nya. So ikanoyong nyo rana macikaop do Anak na si Yeso Kizisto a Panirsirngen ta.
1 Corinthians	1	10	Kakakteh, tayto ko akdawen dinio do ngaran no Apo taya a si Jesu Cristo o kapakapia nio so anod as kapakasa nio so aktokto as kadi nio maysosobnan,	Manga kakteh, ko vavagan inyo no ngaran ni Yeso Kizisto a Panirsirngen ta akmey asa so ciriciring a ji meykataretarek so nakenakem a malwalovot, akmey asa so onowned, akmey asa so pangozayan.
1 Corinthians	1	11	ta tayto o nadngey ko a yapo do vahay ni Chloe a komapet dinio a kakakteh do katayto no maychagrogropo dinio.	Ta o kararay na ni Kelay a tao am sya jya nimanayotayo so ciring da jyaken. Maniring sira jyaken am yamyan kono jinyo do dang so nyo ipeykataretarek so nakenakem.
1 Corinthians	1	12	No ichakey koaya vatahen am no kayan aya no nadngedngey ko a kavata sia no kadwan o, “Yaken am si Pablo o onotan ko.” No kadwan am si Apollos o vata da a onotan da. “Yaken am onotan ko si Cefas,” “Si Cristo o voyvoh ko a adngeyen,” kon da pa no kadwan.	O peypeypangayan no ciring ko am yamyan kono jinyo so yamanci no na kapacyanod jyaken. Yamyan kono so yamanci no na kapacyanod ji Apolo. Yamyan so yamanci no na kapacyanod ji Pite. Yamyan so yamanci no na kapacyanod ji Kizisto.
