Source (Bikolano),Reference (Tagalog),Base Model Output,Fine-tuned Model Output
si adan iyo an ama ni set asin si set iyo an ama ni enos na ama ni kenan,sina adan set enos,Si Adan iyo an Ama ni Set As Si Set iyo an Ama ni Enos na Ama ni kenan,naging anak ni adan si set naging anak ni set si enos si cainan
si kenan iyo an ama ni mahalalel na ama ni jared,kenan mahalalel jared,Si kenan iyo an ama ni mahalalel na ama ni jared,naging anak ni kenan si mahalalel at naging anak ni mahalalel si jared
si jared iyo an ama ni enoc na ama ni metusela si metusela iyo an ama ni lamec,enoc matusalem lamec,Si Jared ay isang ama ni Enoc at ang ama ni Metusela ay isang ama ni Lamec,naging anak ni jared si enoc at naging anak ni enoc si matusalem at naging anak ni matusalem si lamec
na iyo an ama ni noe si noe nagkaigwa nin tolong aking lalaki na iyo si sem ham asin si jafet,noe sem ham at jafet,na iyo an ama ni noe si noe nagkaigwa nin please aking lalaki na iyo si sem ham as si jafet,ito ang mga anak ni noe sina sem ham at jafet
an mga aking lalaki ni jafet iyo si gomer magog madai javan tubal mesec asin tiras,ang mga anak ni jafet ay sina gomer magog madai javan tubal meshec at tiras,isang mga aking lalaki ni jafet iyo si gomer magog madai javan tubal buwan as tiras,ang mga anak ni jafet ay sina gomer magog madai javan tubal mesec at tiras
an mga aking lalaki ni gomer iyo si askenaz rifat asin togarma,ang mga anak ni gomer ay sina askenaz rifat at togarma,isang mga aking lalaki ni gomer iyo si askenaz rifat as togarma,ang mga anak ni gomer ay sina askenaz rifat at togarma
an mga aking lalaki ni javan iyo si elisa espanya chipre asin rodas,ang mga anak ni javan ay sina elisha tarsis kittim at rodanim,isang mga aking lalaki ni javan iyo si elisa spanish cipro as rodas,ang mga anak ni javan sina elisa tarsis kittim at rodas
an mga aking lalaki ni ham iyo si cus egipto libya asin canaan,ang mga anak ni ham ay sina cus mizraim put at canaan,isang mga aking lalaki ni ham iyo si cus egypto libya as canaan,ang mga anak ni ham ay sina cus misraim put at canaan
an mga aking lalaki ni cus iyo si seba havila sabta raama asin sabteca an mga aking lalaki ni raama iyo an mga tawo sa sheba asin dedan ,ang mga anak ni cus ay sina seba havila sabta raama at sabteca ito ang mga anak ni raama sina seba at dedan,isang mga aking lalaki ni cus iyo si seba havila sabta raama as sabteca isang mga aking lalaki ni raama at isang mga tao sa sheba as dedan,ang mga anak ni cus sina seba havila sabta raama at sabteca ang mga anak ni raama ay sina seba at dedan
si cus iyo an ama ni nimrod nagpoon ining mabantog bilang sarong mapangyaring mananakop kan kinaban,si cus ang ama ni nimrod na siyang unang naging makapangyarihan sa daigdig,Si cus iyo an ama ni nimrod nagpoon ining mabantog bilang sarong mapangyaring mananakop kan kinaban,naging anak ni cus si nimrod na siyang naging makapangyarihan sa buong lupa
an mga aking lalaki ni egipto iyo si lydia anam lehab naftu,si mizraim ang ama ng ludim anamim lehabim naftuhim,isang mga aking lalaki ni egipto iyo si lydia anam lehab naftu,ang mga anak ni ehipto ay sina ludim anam lehab at naftu
patrus caslu na iyo an ginikanan kan mga filisteo asin caftos,patrusim casluim na pinanggalingan ng mga filisteo at ng caftorim,Patrus caslu na iyo an ginikanan kan mga filisteo bilang caftos,si patrus ang ama ng mga filisteo at ang ama ng mga caftotita
si canaan iyo an ama ni sidon na matua niyang aking lalaki asin ni het,si canaan ang ama ni sidon na kanyang panganay at ni het,Si canaan iyo an ama ni sidon na matua niyang aking lalaki tulad ni het,si canaan ang ama ni sidon na kanyang panganay at ni het
si canaan iyo man an ginikanan kan mga jebuseo amoreo gergeseo,at ng mga jebuseo mga amoreo mga gergeseo,Si canaan iyo man an ginikanan kan mga jebuseo amoreo gergeseo,at naging anak ni canaan ang mga jebuseo ang mga amoreo at ang mga gergeseo
heveo araceo sineo,ng mga heveo mga araceo mga sineo,heveo araceo sineo,mga heveo mga araceo mga sineo
arvadeo zemareo asin hamateo,ng mga tagaarvad mga zemareo at ng mga hamateo,Arvadeo zemareo asin hamateo,ang mga arvadita sina zemareo at hamateo
an mga aking lalaki ni sem iyo si elam asur arfasad lud aram uz hul geter asin mesek,ang mga anak ni sem ay sina elam ashur arfaxad lud aram uz hul geter at si meshec,isang mga aking lalaki ni sem iyo si elam asur arfasad lud aram uz hul geter as mesek,ang mga anak ni sem sina elam ashur arfaxad lud aram uz hul geter at si meshec
si arfasad iyo an ama ni sela na ama ni eber,si arfaxad ang ama ni shela si shela ang ama ni eber,Si arfasad iyo an ama ni sela na ama ni eber,si arfaxad ang ama ni shela at naging anak ni shela si eber
duwa an aking lalaki ni eber an saro nginaranan na peleg huli ta sa panahon kaini nabanga an mga tawo sa daga asin an ikaduwa nginaranan na joktan,at si eber ay nagkaroon ng dalawang anak na lalaki ang pangalan ng isay peleg sapagkat sa kanyang mga araw ay nahati ang lupa at ang pangalan ng kanyang kapatid ay joktan,dua isang aking lalaki ni eber isang saro nginaranan na peleg huli sa panahon kaini nabanga isang mga tao sa daga bilang isang ikaduwa nginaranan na joktan,si eber ay nagkaanak ng dalawang lalaki ang pangalan ng isa ay peleg sapagkat nang mga araw na iyon ay nahati ang lupa at ang pangalan ng ikalawa ay joktan
si joktan iyo an ama ninda almodad selef hazarmavet jera,at naging anak ni joktan sina almodad shelef hazarmavet jerah,Si joktan iyo an ama Ninda Almodad Selef hazarmavet jera,at naging anak ni joktan si almodad at naging anak ni selef si hazarmavet at naging anak ni jera
hadoram uzal dikla,hadoram uzal dicla,hadoram uzal dikla,hadoram uzal dicla
ebal abimael sheba,ebal abimael sheba,Ebal Abimael Sheba,ebal abimael seba
ofir havila asin jobab gabos sinda gikan ki joktan,ofir havila at jobab lahat ng itoy mga anak ni joktan,sa kanila si havila as jobab gabos sinda gikan ki joktan,sina ofir havila at jobab na mga anak ni joktan
an linya kan pamilya magpoon ki sem sagkod ki abram iyo an minasurunod sem arfasad sela,si sem arfaxad shela,isang linya kan pamilya magpoon ki sem sagkod ki Abram iyo isang minasurunod sem arfasad sela,si sem na kanyang anak si arfaxad na kanyang anak si shela
eber peleg reu,si eber peleg reu,eber peleg reu,eber peleg reu
