Book,Chapter,Verse,Source (Yami),Source (Cleaned),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
John,10,11,“Yaken rana am akma koy mapamangamangan so kagling a makapzat do omanop jyaken a tao. Ta mangay o kangay ko no inawan no omanop jyaken a tao.,yaken rana am akma koy mapamangamangan so kagling a makapzat do omanop jyaken a tao ta mangay o kangay ko no inawan no omanop jyaken a tao,ako ang pastol ng mga tupa at ang aking ama ang aking ama ang aking ama ang aking ama ang aking ama ang aking ama ang aking ama ang aking ama ang aking ama,Ako ang mabuting pastol. Ibinibigay ng mabuting pastol ang kanyang buhay para sa mga tupa.,ako ang mabuting pastol ibinibigay ng mabuting pastol ang kanyang buhay para sa mga tupa,3.5410607693940137
Acts,5,7,Hatasen na o ikatlo na vatvatek am mai rana o mavakes na. Am ji na tenngi pa o vazay ang.,hatasen na o ikatlo na vatvatek am mai rana o mavakes na am ji na tenngi pa o vazay ang,nang malapit na ang ikatlong oras pumasok ang kanyang asawa na hindi nalalaman ang nangyari,"Pagkatapos ng halos tatlong oras na pagitan, pumasok ang kanyang asawa na hindi nalalaman ang nangyari.",pagkatapos ng halos tatlong oras na pagitan pumasok ang kanyang asawa na hindi nalalaman ang nangyari,54.21806974540424
Romans,9,20,"Am sinosino ka a to makadket ji Ama ta do to a yapasobnan. Kadketan no tana kapanci na nya do meytanatana tao so, “Mo akmanan jyaken so sya so kamamaogan.”",am sinosino ka a to makadket ji ama ta do to a yapasobnan kadketan no tana kapanci na nya do meytanatana tao so mo akmanan jyaken so sya so kamamaogan,ngunit sino ka ba na sasalubungin ang diyos na sa pamamagitan ng mga takalan ng lupa ay nagsasabi sa mga dukha maging tulad ka sa akin,"Ngunit, sino ka, O tao, na makikipagtalo sa Diyos? Sasabihin ba ng bagay na hinubog doon sa humubog sa kanya, “Bakit mo ako ginawang ganito?”",ngunit sino ka o tao na makikipagtalo sa diyos sasabihin ba ng bagay na hinubog doon sa humubog sa kanya bakit mo ako ginawang ganito,7.441064390829721
Luke,22,31,"Maniring pa si Yeso am, “Mo Simong, cittey si Satan a nipya ni Ama ta do to a mangay a omlita jinyo.",maniring pa si yeso am mo simong cittey si satan a nipya ni ama ta do to a mangay a omlita jinyo,simon simon narito si satanas ay sumusumpong sa inyo upang silay mapahamak,"Simon, Simon, narito, hiningi ka ni Satanas upang ikaw ay maliglig niyang gaya ng trigo:",simon simon narito hiningi ka ni satanas upang ikaw ay maliglig niyang gaya ng trigo,11.675085829206237
Luke,15,29,"Maniring do ama na am, ‘To mo na naknakman, ta yako rana jyatenngi o zikzikna ko so vazay ta a yaji mapasobna do ciriciring mo. Am ikongo nakenakem mo jyaken. Yabwata pa o asa ka kagling a mo mina nakem jyaken a ipanaotao ko so kagagan ko.",maniring do ama na am to mo na naknakman ta yako rana jyatenngi o zikzikna ko so vazay ta a yaji mapasobna do ciriciring mo am ikongo nakenakem mo jyaken yabwata pa o asa ka kagling a mo mina nakem jyaken a ipanaotao ko so kagagan ko,datapuwat sinabi niya sa kaniyang ama ginoo hindi ko nalalaman kung paanong ginagawa ko ang mga bagay na ito at hindi ayon sa iyong utos paanong akoy wala pa sa iyo kundi ang isang maliit na kordero upang ibigay ko sa aking mga kaibigan,"Datapuwa't siya'y sumagot at sinabi sa kaniyang ama, Narito, maraming taon nang kita'y pinaglilingkuran, at kailan ma'y hindi ako sumuway sa iyong utos; at gayon ma'y hindi mo ako binigyan kailan man ng isang maliit na kambing, upang ipakipagkatuwa ko sa aking mga kaibigan:",datapuwat siyay sumagot at sinabi sa kaniyang ama narito maraming taon nang kitay pinaglilingkuran at kailan may hindi ako sumuway sa iyong utos at gayon may hindi mo ako binigyan kailan man ng isang maliit na kambing upang ipakipagkatuwa ko sa aking mga kaibigan,16.47457579124095
John,19,6,"Macita da si Yeso no panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano omzat do rako a panaralayan am amlololos sira manci no, “Padketen do jyojika. Padketen do jyojika.” Maniring si Pilato jira am, “Ahap kamo na a kapadket nyo sya, ta yabo yako makala na karatan.”",macita da si yeso no panipanirsirngen no mapatanatanang so nakem da si ama ta do to a kano omzat do rako a panaralayan am amlololos sira manci no padketen do jyojika padketen do jyojika maniring si pilato jira am ahap kamo na a kapadket nyo sya ta yabo yako makala na karatan,nang makita siya ng mga punong pari at ng mga punong kawal ay sumigaw ipako siya sa krus ipako siya sa krus sinabi sa kanila ni pilato kunin ninyo siya at ipako siya sa krus sapagkat akoy hindi nakakakita ng anumang kasalanan sa kanya,"Nang siya ay makita ng mga punong pari at ng mga punong-kawal, sila'y nagsigawan, “Ipako siya sa krus, ipako siya sa krus!” Sinabi sa kanila ni Pilato, “Kunin ninyo siya, at ipako ninyo siya sa krus, sapagkat ako'y walang nakitang kasalanan sa kanya.”",nang siya ay makita ng mga punong pari at ng mga punongkawal silay nagsigawan ipako siya sa krus ipako siya sa krus sinabi sa kanila ni pilato kunin ninyo siya at ipako ninyo siya sa krus sapagkat akoy walang nakitang kasalanan sa kanya,64.48388377608057
Luke,24,52,Ori o niraralayan da nya masasaray so onowned a meysinaoli do Yelosaleng.,ori o niraralayan da nya masasaray so onowned a meysinaoli do yelosaleng,at siyay sinamba nila at nagbalik sila sa jerusalem na may malaking kagalakan,Siya'y sinamba nila at bumalik sila sa Jerusalem na may malaking kagalakan.,siyay sinamba nila at bumalik sila sa jerusalem na may malaking kagalakan,67.03420896351791
John,5,24,To ko na macitangayan jinyo am omamizing so ciring ko a tao a omanoyong do yanitomovoy jyaken am mahap na o to meyyonong a ikavyay no pahad na. So ikanoyong na ji na meydednai no peyoyaoyyan na ni Ama ta do to. Ta nimaliklik na rana o apwa kawakwakan no pahad na.,to ko na macitangayan jinyo am omamizing so ciring ko a tao a omanoyong do yanitomovoy jyaken am mahap na o to meyyonong a ikavyay no pahad na so ikanoyong na ji na meydednai no peyoyaoyyan na ni ama ta do to ta nimaliklik na rana o apwa kawakwakan no pahad na,katotohanang sinasabi ko sa inyo ang nakikinig ng aking salita at sumasampalataya sa kaniya na nagsugo sa akin ay may buhay na walang hanggan at sa kaniyay hindi darating ang poot kundi siyay nagsialis na mula sa pagkawasak,"Katotohanan, katotohanang sinasabi ko sa inyo, Ang dumirinig ng aking salita, at sumasampalataya sa kaniya na nagsugo sa akin, ay may buhay na walang hanggan, at hindi mapapasok sa paghatol, kundi lumipat na sa kabuhayan mula sa kamatayan.",katotohanan katotohanang sinasabi ko sa inyo ang dumirinig ng aking salita at sumasampalataya sa kaniya na nagsugo sa akin ay may buhay na walang hanggan at hindi mapapasok sa paghatol kundi lumipat na sa kabuhayan mula sa kamatayan,61.192603548842555
John,6,40,"Ta o nakenakem ni Ama am mahap da o to meyyonong a ikavyay no pahad da no makateneng jyaken a kano omanoyong jyaken a tao, a kapeyvangon ko pa sira no makaranes rana o araraw no kapeykapyapinpin na ni Ama ta do to so tao.”",ta o nakenakem ni ama am mahap da o to meyyonong a ikavyay no pahad da no makateneng jyaken a kano omanoyong jyaken a tao a kapeyvangon ko pa sira no makaranes rana o araraw no kapeykapyapinpin na ni ama ta do to so tao,sapagkat ito ang kalooban ng aking ama na ang bawat nakikilala at sumasampalataya sa akin ay magkaroon ng buhay na walang hanggan at siyay aking bubuhayin sa huling araw,"Sapagka't ito ang kalooban ng aking Ama, na ang bawa't nakakakita sa Anak, at sa kaniya'y sumampalataya, ay magkaroon ng walang hanggang buhay; at akin siyang ibabangon sa huling araw.",sapagkat ito ang kalooban ng aking ama na ang bawat nakakakita sa anak at sa kaniyay sumampalataya ay magkaroon ng walang hanggang buhay at akin siyang ibabangon sa huling araw,41.82318097264347
John,14,8,"Maniring si Veydipo ji Yeso am, “Pacitaney jyamen, mo Panirsirngen, si Ama ta do to, ta ori namen kakzeben.”",maniring si veydipo ji yeso am pacitaney jyamen mo panirsirngen si ama ta do to ta ori namen kakzeben,sinabi sa kanya ni felipe panginoon ipakita mo sa amin ang ama at kakaunti ang kailangan namin,"Sinabi sa kaniya ni Felipe, Panginoon, ipakita mo sa amin ang Ama, at sukat na ito sa amin.",sinabi sa kaniya ni felipe panginoon ipakita mo sa amin ang ama at sukat na ito sa amin,55.22027108670325
