Source (Yami),Source (Cleaned),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
"Ori ya kanakan ira do apheshepen, ya mamizing sira do ciriciring ni ama ira.",ori ya kanakan ira do apheshepen ya mamizing sira do ciriciring ni ama ira,kayat ang mga batang lalaki ay nakikinig sa kanilang ama nang araw na iyon,"Naroon ang mga bata sa tabing-dagat, at nakikinig sila sa mga kuwento ng kanilang ama.",naroon ang mga bata sa tabingdagat at nakikinig sila sa mga kuwento ng kanilang ama,8.276380533331384
"Siciaraw ya mipangay sira do vahay, ta ya masáray sira a mivahay do siciamahep ya.",siciaraw ya mipangay sira do vahay ta ya masáray sira a mivahay do siciamahep ya,at silay nagsiparoon sa amin nang araw na yaon at nang araw na yaon ay tumigil sila sa bahay na may galak,"Ngayong araw ay pupunta sila sa bahay, dahil masaya silang bumalik bago dumilim.",ngayong araw ay pupunta sila sa bahay dahil masaya silang bumalik bago dumilim,7.305267243289862
"Sira kaka ira ya mivanoa do kahasan, ta somivoz sira do rarakeh no am.",sira kaka ira ya mivanoa do kahasan ta somivoz sira do rarakeh no am,at ang lahat ng mga ito ay nahuli sa mga damo sapagkat ang mga ito ay nahuli sa mga dawagan,"Ang magkapatid ay pumunta sa kagubatan, dahil pumasok sila sa malalim na bahagi ng bundok.",ang magkapatid ay pumunta sa kagubatan dahil pumasok sila sa malalim na bahagi ng bundok,2.8629993657668873
"Nokamnasavehan ya miparakorako o civet ori a, ya makaranes namen rana.",nokamnasavehan ya miparakorako o civet ori a ya makaranes namen rana,at nagsitindig ang barko at nagsitindig ang barko hanggang sa dumating ang barko,"Noong nakaraang buwan ay maliit pa ang alimango, at saka ito lumaki nang husto.",noong nakaraang buwan ay maliit pa ang alimango at saka ito lumaki nang husto,3.4015426186864377
"“Mamizing mo o ciriciring ni ama mo,” ya ciri ni ina do kanakan.",mamizing mo o ciriciring ni ama mo ya ciri ni ina do kanakan,pakinggan mo ang iyong ama at ang iyong ina sa mga bata,"“Dapat makinig ka sa mga salita ng iyong ama,” sabi ng ina sa bata.",dapat makinig ka sa mga salita ng iyong ama sabi ng ina sa bata,9.930225384654197
"Ko mamizing imo a ya mai am, ko masáray.",ko mamizing imo a ya mai am ko masáray,akoy napuspos ng kagalakan nang aking marinig na dumarating ka,"Nang marinig ko na darating ka, natuwa ako.",nang marinig ko na darating ka natuwa ako,5.934202609760488
"Miangay sira do aHarang, ta rareng a mialalam ya sira do vahay.",miangay sira do aharang ta rareng a mialalam ya sira do vahay,at ang bawat isa sa kanila ay tumakas sa kanyang sariling bahay at ang bawat isa ay tumakas sa kanyang sariling bahay,"Pumunta sila sa pampang, at naglaro sila malapit sa lugar kung saan nakadaong ang mga bangka.",pumunta sila sa pampang at naglaro sila malapit sa lugar kung saan nakadaong ang mga bangka,2.4426633221059637
"Amiying sira ori am, ta mikeykami yingen da do rarakeh ni ama ira.",amiying sira ori am ta mikeykami yingen da do rarakeh ni ama ira,at silay nagsipanggilalas sapagkat silay mga anak ng kanilang mga ninuno,Nagtawanan sila matapos marinig ang nakakatawang kuwento ng kanilang ama.,nagtawanan sila matapos marinig ang nakakatawang kuwento ng kanilang ama,7.495553473355842
"Ya ko ma-snek, ta ko ka-loit do vahay.",ya ko masnek ta ko kaloit do vahay,akoy natutulog sapagkat akoy nasa bahay,Nahihiya ako dahil nadumihan ko ang loob ng bahay.,nahihiya ako dahil nadumihan ko ang loob ng bahay,4.923026124015933
"Kadavayan no am ya niomahas si Kaojinzhong a, ta somivoz sira do kahasan.",kadavayan no am ya niomahas si kaojinzhong a ta somivoz sira do kahasan,at ang mga ito ay nagsipanggilalas at ang mga ito ay nagsipanggilalas sa mga parang,"Noong mga panahong iyon, tumakas si Kaojinzhong, kaya nagtungo sila sa kabundukan.",noong mga panahong iyon tumakas si kaojinzhong kaya nagtungo sila sa kabundukan,3.125190763972442
"Siciamakoyab ya mivahay sira, ta makapnezak ya misega o sozi ira.",siciamakoyab ya mivahay sira ta makapnezak ya misega o sozi ira,at silay nagsipanhik sa kanilang mga bahay at silay nagsipanhik sa kanilang mga paa,"Sa hapon sila umuwi, at kinabukasan ay maaga silang gumising.",sa hapon sila umuwi at kinabukasan ay maaga silang gumising,3.377156414337854
"Pianoodien ko o kanakan, ta amakong sira do rarakeh.",pianoodien ko o kanakan ta amakong sira do rarakeh,ang mga bata ay aking tinuruan na maging tulad sa matatanda,Tinawag ko ang mga bata dahil kailangan silang tumulong sa mga matatanda.,tinawag ko ang mga bata dahil kailangan silang tumulong sa mga matatanda,14.473710747837549
