Book,Chapter,Verse,Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
John,3,20,"Siopamay maoges iray gawa to bosulen toy silew tan ag ondagod silew, ompano napatnagan so kagagawa to.",siopamay maoges iray gawa to bosulen toy silew tan ag ondagod silew ompano napatnagan so kagagawa to,an siisay man na naggigibo nin maraot naoongis sa ilaw asin dai minadolok sa ilaw ta tibaad mahayag an mga maraot niyang gibo,sapagkat ang bawat isa na gumagawa ng masama ay napopoot sa ilaw at hindi lumalapit sa ilaw baka mahayag ang kanyang mga gawa,"Sapagka't ang bawa't isa na gumagawa ng masama ay napopoot sa ilaw, at hindi lumalapit sa ilaw, upang huwag masaway ang kaniyang mga gawa.",sapagkat ang bawat isa na gumagawa ng masama ay napopoot sa ilaw at hindi lumalapit sa ilaw upang huwag masaway ang kaniyang mga gawa,72.89407551520279
Luke,12,36,"a singa saray aripen a manaalagar ed isabiy amo ra a manlapud bansal. No onsabi tan ontoktok, lokasan dan tampol so puirta.",a singa saray aripen a manaalagar ed isabiy amo ra a manlapud bansal no onsabi tan ontoktok lokasan dan tampol so puirta,magin arog kamo sa mga sorogoon na naghahalat kan pagbalik kan saindang kagurangnan hale sa kasal pagabot niya asin pagtoktok niya bubukasan ninda tolos an pintoan,at maging tulad kayo sa mga naghihintay sa kanilang panginoon kapag siyay dumating mula sa kasalan at tumuktok agad nilang bubuksan siya,At maging tulad kayo ng mga taong naghihintay sa kanilang panginoon na magbalik mula sa kasalan upang agad nilang mapagbuksan siya kapag siya ay dumating na at tumuktok.,at maging tulad kayo ng mga taong naghihintay sa kanilang panginoon na magbalik mula sa kasalan upang agad nilang mapagbuksan siya kapag siya ay dumating na at tumuktok,24.55489365516989
Exodus,29,17,Tegtegteg mo may karniro; orasan mo ray loob-loob to tan saray sali to tan iyan mo ra ed tapew na olo to tan saray arum a tegteg.,tegtegteg mo may karniro orasan mo ray loobloob to tan saray sali to tan iyan mo ra ed tapew na olo to tan saray arum a tegteg,bugtakan mo an karnero hugasan mo an bituka asin an bituka dangan ibugtak mo iyan sa ibabaw kan payo asin sa iba pang mga bugtakan,ilalagay mo sa ibabaw ng ulo ng tupa at iyong huhugasan ng tubig ang bituka at ang bituka at ilalagay mo sa ibabaw ng ulo ng tupa at sa ibabaw ng mga bituka,"Pagpuputul-putulin mo ang tupa at huhugasan mo ang mga lamang-loob at ang mga hita, at ipapatong mo sa mga piraso at sa ulo nito.",pagpuputulputulin mo ang tupa at huhugasan mo ang mga lamangloob at ang mga hita at ipapatong mo sa mga piraso at sa ulo nito,5.166992049767955
2 Kings,3,27,"Kanyan inala toy sankapangulowanan a lakin anak ton onsalat ed sikaton manari, tan imbagat tod dios na Moab diad tapew na padir na siudad. Ataktakot iray Israelita, kanyan sinmoner ira tan amawil la rad dilin bansa ra.",kanyan inala toy sankapangulowanan a lakin anak ton onsalat ed sikaton manari tan imbagat tod dios na moab diad tapew na padir na siudad ataktakot iray israelita kanyan sinmoner ira tan amawil la rad dilin bansa ra,kaya kinua niya an matua niyang aking lalaki na masalihid saiya bilang hade asin idinolot bilang atang sa ibabaw kan kudal kan syudad sa dios nin moab natakot an mga israelita kaya nagduruman sinda asin nagbalik sa sadiri nindang daga,kayat kinuha niya ang kanyang panganay na anak na maghahari na kapalit niya at inihandog bilang handog sa diyos ng moab sa ibabaw ng pader at ang mga anak ni israel ay natakot kayat silay umalis at umuwi sa kanilang sariling lupain,"Nang magkagayo'y kinuha niya ang kanyang pinakamatandang anak na lalaki na maghahari sanang kapalit niya, at inihandog niya ito bilang handog na sinusunog sa ibabaw ng pader. At nagkaroon ng malaking poot laban sa Israel; kaya't kanilang iniwan siya, at bumalik sa kanilang sariling lupain.",nang magkagayoy kinuha niya ang kanyang pinakamatandang anak na lalaki na maghahari sanang kapalit niya at inihandog niya ito bilang handog na sinusunog sa ibabaw ng pader at nagkaroon ng malaking poot laban sa israel kayat kanilang iniwan siya at bumalik sa kanilang sariling lupain,27.645353829539857
Mark,1,29,"Kasiput dad sinagoga, tinmuloy iran tampol ed abung di Simon tan Andres. Kaiba ra met si Santiago tan si Juan.",kasiput dad sinagoga tinmuloy iran tampol ed abung di simon tan andres kaiba ra met si santiago tan si juan,pakahale ninda sa sinagoga nagduman tolos sinda sa harong ni simon saka ni andres kaiba si santiago saka si juan,at pagkalabas sa sinagoga ay nagsiparoon sila na kasama nina santiago at juan sa bahay nina simon at andres,"Pagkalabas sa sinagoga, pumasok sila sa bahay ni Simon at ni Andres, kasama sina Santiago at Juan.",pagkalabas sa sinagoga pumasok sila sa bahay ni simon at ni andres kasama sina santiago at juan,17.01668259220275
Luke,15,19,"Ibagak nin ag ak la manepeg a tawagen day anak, tan kerewen ko ya anggan ibilang da ak lan sakey ed saray katulong da.’",ibagak nin ag ak la manepeg a tawagen day anak tan kerewen ko ya anggan ibilang da ak lan sakey ed saray katulong da,dai na ako maninigo na apodon na aki mo maski ibilang mo akong saro kan saimong mga sorogoon,hindi na ako karapatdapat na tawaging anak mo bagaman akoy isa sa iyong mga alipin,Hindi na ako karapat-dapat na tawaging anak mo. Ituring mo ako na isa sa iyong mga upahang lingkod.”’,hindi na ako karapatdapat na tawaging anak mo ituring mo ako na isa sa iyong mga upahang lingkod,53.01646310382839
Proverbs,27,17,"Saray totoo makakaaral irad kapara ran totoo, a singa say balatyang et patataremen toy kapara ton balatyang.",saray totoo makakaaral irad kapara ran totoo a singa say balatyang et patataremen toy kapara ton balatyang,an tawo nakakatukdo sa saiyang kapwa siring na an lansang nakakakosog kan saiyang kapwa,ang tao ay nagtuturo sa kanyang kapwa gaya ng bakal na nagpapatibay sa kanyang kapwa,Ang bakal ay nagpapatalas sa bakal; at ang tao ang nagpapatalas sa isa pang tao.,ang bakal ay nagpapatalas sa bakal at ang tao ang nagpapatalas sa isa pang tao,6.917184228205474
Zechariah,8,1,Say Katawan a Makapanyarin-amin inter to yan salita ed siak:,say katawan a makapanyarinamin inter to yan salita ed siak,itinao sako kan kagurangnan nin mga hukbo an mensaheng ini,ang salita ng panginoon ng mga hukbo ay dumating sa akin na sinasabi,"Ang salita ng Panginoon ng mga hukbo ay dumating sa akin, na sinasabi:",ang salita ng panginoon ng mga hukbo ay dumating sa akin na sinasabi,100.00000000000004
1 Thessalonians,4,5,"aliwan diad pangonur yo labat ed liket na laman, a singa gagawaen da ray Hintil ya ag makaamtad Dios.",aliwan diad pangonur yo labat ed liket na laman a singa gagawaen da ray hintil ya ag makaamtad dios,bakong sa mga kaogmahan arog kan mga pagano na dai nakakamidbid sa dios,hindi sa kagalakan gaya ng mga hentil na hindi nakakakilala sa diyos,"hindi sa pita ng kahalayan, na gaya ng mga Hentil na hindi nakakakilala sa Diyos;",hindi sa pita ng kahalayan na gaya ng mga hentil na hindi nakakakilala sa diyos,59.90228521313677
Deuteronomy,1,28,"Akin et onla tayod man, anta antakot itayo. Saramay imbaki tayo et kuandan mabiskeg tan atagey ni ray totood man nen say sikatayo, tan manaayam irad saray siudad ya anggad tawen iray padir da. Akanengneng irad man na saray alan!’",akin et onla tayod man anta antakot itayo saramay imbaki tayo et kuandan mabiskeg tan atagey ni ray totood man nen say sikatayo tan manaayam irad saray siudad ya anggad tawen iray padir da akanengneng irad man na saray alan,tadaw ta maduman kita duman mantang natatakot kita an samong mga sinugo nagsabi an mga tawo duman mas makosog asin mas halangkaw ki sa sato asin nageerok sinda sa mga syudad na an kudal sagkod sa langit nahiling ninda an mga higante duman,bakit tayo pupunta roon samantalang ang ating mga sugo ay natatakot na sinasabi ang mga taong naroon ay mas malakas at mas mataas kaysa atin at silay naninirahan sa mga lunsod na may pader hanggang sa langit nakita nila ang mga higante roon,"Saan tayo aahon? Pinapanghina ng ating mga kapatid ang ating puso, na sinasabi, “Nakita namin doon ang mga taong malalaki at matataas kaysa atin. Ang mga bayan ay malalaki at may pader hanggang sa langit, gayundin nakita namin ang mga anak ng Anakim roon.”’",saan tayo aahon pinapanghina ng ating mga kapatid ang ating puso na sinasabi nakita namin doon ang mga taong malalaki at matataas kaysa atin ang mga bayan ay malalaki at may pader hanggang sa langit gayundin nakita namin ang mga anak ng anakim roon,15.965525151378438
